t,euler_y,exact_y,error
0,1,1,0
0.16666666666666666,1,0.999260544573477,0.0007394554265229836
0.3333333333333333,0.9976905385938208,0.9943414768423395,0.003349061751481308
0.5,0.988901606547307,0.9817693801036046,0.007132226443702372
0.6666666666666666,0.970348432437818,0.9588370914396386,0.011511340998179409
0.8333333333333333,0.939604903827673,0.923593652893086,0.016011250934586996
0.9999999999999999,0.895072793870237,0.8748263659237392,0.02024642794649778
1.1666666666666665,0.8359443792032207,0.8120334414723553,0.02391093773086539
1.3333333333333333,0.762156762632077,0.7353863063910144,0.026770456241062557
1.5,0.6743368977438957,0.6456811742100936,0.02865572353380208
1.6666666666666667,0.5737369483978636,0.5442800062874755,0.029456942110388074
1.8333333333333335,0.4621601989958237,0.4330414701091801,0.02911872888664363
2,0.3418782558933809,0.314242936757576,0.027635319135804914
2.1666666666666665,0.21554074048662702,0.19049494167145345,0.025045798815173576
2.333333333333333,0.08607906494289896,0.06464985492642689,0.021429210016472078
2.4999999999999996,-0.04339380250589686,-0.06029323640953888,0.01689943390364202
2.666666666666666,-0.16968543801273628,-0.1812852451772136,0.01159980716447731
2.8333333333333326,-0.28962562637945377,-0.2953230986137644,0.005697472234310608
2.999999999999999,-0.40016521135584737,-0.3995427100863566,0.0006225012694907606
3.1666666666666656,-0.4984697588966137,-0.49130660284464933,0.007163156051964381
3.333333333333332,-0.5820057429810792,-0.5682839871196554,0.013721755861423768
3.4999999999999987,-0.6486171199360792,-0.6285212657790484,0.020095854157030746
3.666666666666665,-0.6965903811618654,-0.6705011791590364,0.02608920200282905
3.8333333333333317,-0.7247064581242606,-0.6931890892753018,0.03151736884895884
3.9999999999999982,-0.7322781883957582,-0.696065238641403,0.036212949754355184
4.166666666666665,-0.7191724271404007,-0.6791421895122265,0.04003023762817426
4.333333333333332,-0.6858162935144378,-0.6429670447481798,0.04284924876625806
4.499999999999999,-0.6331874640891214,-0.5886084602788176,0.044579003810303774
4.666666666666666,-0.5627888533127313,-0.5176288696425072,0.04515998367022411
4.833333333333333,-0.4766084418837063,-0.43204274160949585,0.044565700274210474
5,-0.3770654156476795,-0.33426207110041334,0.04280334454726614
